objID,raMean,decMean,raMeanErr,decMeanErr,qualityFlag,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagNpt,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagNpt,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagNpt,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagNpt,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagNpt,gMeanApMag,gMeanApMagErr,gMeanApMagNpt,rMeanApMag,rMeanApMagErr,rMeanApMagNpt,iMeanApMag,iMeanApMagErr,iMeanApMagNpt,zMeanApMag,zMeanApMagErr,zMeanApMagNpt,yMeanApMag,yMeanApMagErr,yMeanApMagNpt,rMeanKronMag,rMeanKronMagErr,nDetections,ng,nr,ni,nz,ny,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,zFlags,zQfPerfect,yFlags,yQfPerfect,primaryDetection,bestDetection
107150157753710899,15.77549711,-0.707989,0.00963000021874905,0.00374000007286668,60,17.5928993225098,0.00662899995222688,9,16.497200012207,0.0072400001809001,9,15.9209995269775,0.00286999996751547,17,15.6506004333496,0.00341499992646277,12,15.5071001052856,0.00354499998502433,11,17.5993995666504,0.00572199979797006,12,16.4885997772217,0.00516400020569563,10,15.9168996810913,0.00210899999365211,19,15.6501998901367,0.00278700003400445,14,15.4881000518799,0.00434200000017881,11,16.555700302124,0.00564400013536215,68,12,11,20,14,11,115000,0.999715983867645,115000,0.999538004398346,115000,0.999723017215729,115000,0.999571979045868,115000,0.999451994895935,1,1
107150157855705398,15.78569819,-0.70424001,0.00784999970346689,0.0206899996846914,52,19.315299987793,0.00685299979522824,10,19.0825004577637,0.00638099992647767,18,18.9811992645264,0.00845399964600801,20,18.9717998504639,0.0234529990702868,12,18.9347991943359,0.0362670011818409,12,19.2868003845215,0.00611199997365475,10,19.0867004394531,0.0082219997420907,18,18.9570999145508,0.00996199995279312,20,18.966100692749,0.0287829991430044,13,18.9120998382568,0.0547909997403622,12,19.1734008789063,0.010240999981761,78,11,21,20,13,13,115000,0.999630987644196,115000,0.999714970588684,115000,0.999330997467041,115000,0.999623000621796,115000,0.998893976211548,1,1
107850156376384146,15.63765552,-0.12195543,0.00741000007838011,0.00221999990753829,52,19.7266006469727,0.00934400036931038,10,19.3568000793457,0.00861399993300438,28,19.1919002532959,0.00809499993920326,22,19.130500793457,0.00971399992704391,11,19.0891990661621,0.0326710008084774,8,19.7183990478516,0.0170249994844198,10,19.3432006835938,0.0102859996259212,29,19.2054004669189,0.0153440004214644,22,19.1669006347656,0.0343099981546402,11,19.1462001800537,0.041558999568224,8,19.4505004882813,0.0116210002452135,84,12,30,22,11,9,115000,0.999279975891113,115000,0.999638020992279,115000,0.999068021774292,115000,0.999173998832703,115000,0.99870902299881,1,1
107850156627682101,15.66278257,-0.12363939,0.00484000006690621,0.00170999998226762,60,17.0625,0.00409599998965859,10,16.4118003845215,0.00158000004012138,17,16.1632995605469,0.00241299998015165,18,16.076099395752,0.00270899990573525,9,15.989800453186,0.00609199982136488,10,17.0555000305176,0.00415599998086691,10,16.4085998535156,0.00189099996350706,25,16.1629009246826,0.00178399996366352,20,16.0764999389648,0.00231399992480874,11,15.9787998199463,0.00658399984240532,10,16.4615993499756,0.002608000067994,82,12,27,20,11,12,115000,0.999706983566284,115000,0.999590992927551,115000,0.999207973480225,115000,0.999589025974274,115000,0.999661982059479,1,1
108080154789501441,15.47897847,0.06747604,0.00468999985605478,0.00279000005684793,60,17.5834007263184,0.00565000018104911,8,16.6690006256104,0.00215200008824468,22,16.2994003295898,0.00162600004114211,21,16.1354007720947,0.00479400018230081,10,16.0266990661621,0.00479400018230081,14,17.5764007568359,0.00577800022438169,8,16.6653003692627,0.00238900003023446,28,16.2921009063721,0.00179300003219396,24,16.1417999267578,0.00207599997520447,11,16.0312004089355,0.00522400019690394,15,16.7234992980957,0.00448600016534328,92,10,28,28,11,15,115000,0.999291002750397,115000,0.999616980552673,115000,0.999723017215729,115000,0.999287009239197,115000,0.998947024345398,1,1
108300162745321594,16.27454965,0.25094017,0.00841000024229288,0.00364000000990927,52,19.5375995635986,0.0145779997110367,10,19.1676998138428,0.00933299958705902,14,18.9918994903564,0.00389500008895993,20,18.9801998138428,0.0126750003546476,16,18.9832000732422,0.0424299985170364,13,19.5995998382568,0.0232539996504784,10,19.1639995574951,0.016380999237299,14,18.9995002746582,0.0106520000845194,20,19.0002002716064,0.0210660006850958,16,18.9309997558594,0.0551260001957417,13,19.2441005706787,0.0148870004341006,80,12,18,21,16,13,115000,0.999571025371552,115000,0.999634027481079,115000,0.999243974685669,115000,0.999499022960663,115000,0.999671995639801,1,1
107700157922431155,15.79229018,-0.24937385,0.00841999985277653,0.00264000007882714,52,18.3812999725342,0.00896599981933832,9,18.0781002044678,0.00288800010457635,14,17.9599990844727,0.00351800001226366,15,17.9498996734619,0.00769100012257695,9,17.9610996246338,0.012253999710083,11,18.3563003540039,0.00813599955290556,10,18.0739994049072,0.00998399965465069,15,17.9603004455566,0.00278199999593198,15,17.9636993408203,0.0105100004002452,9,17.9703998565674,0.0214930009096861,12,18.1506004333496,0.0112910000607371,64,10,15,17,10,12,115000,0.998670995235443,115000,0.999090015888214,115000,0.999682009220123,115000,0.999194025993347,115000,0.999571979045868,1,1
107750153780426568,15.37807423,-0.20322849,0.00374000007286668,0.00689999992027879,60,17.1282005310059,0.00536500010639429,7,16.7289009094238,0.00253699999302626,20,16.5372009277344,0.00308900000527501,19,16.4899997711182,0.00315700005739927,9,16.4570007324219,0.00721199996769428,7,17.1203994750977,0.00629799999296665,8,16.7120990753174,0.00356000009924173,22,16.5263996124268,0.00270899990573525,21,16.467399597168,0.00364900007843971,9,16.4358997344971,0.00553900003433228,7,16.7654991149902,0.00458899978548288,75,11,24,21,10,9,115000,0.999328970909119,115000,0.999541997909546,115000,0.999448001384735,115000,0.999719977378845,115000,0.999108016490936,1,1
108350162184890344,16.21852284,0.29156188,0.00255000009201467,0.00602000020444393,60,19.9256000518799,0.0130789997056127,13,18.8740997314453,0.00389300007373095,18,18.3861999511719,0.00437000021338463,27,18.176399230957,0.0119880000129342,16,18.0142993927002,0.0110179996117949,12,19.9729995727539,0.0167699996381998,13,18.8854007720947,0.0078940000385046,21,18.3759002685547,0.00537799997255206,28,18.1737995147705,0.0079720001667738,16,18.0172004699707,0.0191699992865324,12,18.9794998168945,0.0094980001449585,90,13,21,28,16,12,115000,0.999818027019501,115000,0.999261021614075,115000,0.999722003936768,115000,0.999089002609253,115000,0.999705016613007,1,1
108350162758035490,16.27582194,0.29586915,0.00248000002466142,0.00249000010080636,60,18.1291999816895,0.00849799998104572,8,16.9188995361328,0.00521099986508489,11,16.2248001098633,0.00270300009287894,17,15.9294004440308,0.00198199995793402,14,15.7513999938965,0.00450199982151389,10,18.1089000701904,0.0103169996291399,10,16.9064998626709,0.00401700008660555,14,16.2273998260498,0.00240399991162121,19,15.9219999313354,0.00155100005213171,15,15.7658004760742,0.0061659999191761,11,16.9754009246826,0.00379300001077354,78,10,17,25,15,11,115000,0.999608993530273,115000,0.999486029148102,115000,0.998677015304565,115000,0.99972802400589,115000,0.999279975891113,1,1
